英文,中文
flaming_eye,燃烧的眼睛
flaming_sword,燃烧的剑
flaming_weapon,燃烧的武器
flapping,扑
flashback,闪回
flashing,闪烁的
flashlight,手电筒
flask,瓶
flat_ass,扁平的屁股
flat_cap,平帽
flat_chest,平坦的胸部
flat_chest_grab,平抓胸
flat_color,平的颜色
flats,公寓
fleeing,逃离
fleur_de_lapin_uniform,芙蓉的lapin制服
flexible,灵活的
flexing,弯曲
flight_deck,飞行甲板
flip-flops,人字拖
flip_phone,翻盖手机
flipped_hair,了头发
flippers,鳍状肢
floating,浮动
floating_book,浮动的书
floating_cape,浮动的角
floating_hair,浮动的头发
floating_island,漂浮岛
floating_object,浮动对象
flock,群
floor,地板上
floppy_ears,软盘的耳朵
floral_background,花的背景
floral_print,印花
flower,花
flower-shaped_pupils,花形的学生
flower_(symbol),花(符号)
flower_bracelet,花手镯
flower_earrings,花耳环
flower_field,花领域
flower_knot,花结
flower_necklace,花项链
flower_ornament,花点缀
flower_pot,花盆
flower_wreath,花花环
fluffy,毛茸茸的
flustered,慌张
flute,长笛
flying,飞行
flying_kick,飞踢
flying_sweatdrops,飞行sweatdrops
flying_teardrops,飞行的泪滴
foam,泡沫
focused,集中
fog,雾
folded,折叠
folded_hair,折叠的头发
folded_leg,折叠的腿
folded_ponytail,折叠的马尾辫
folding_chair,折椅
folding_fan,折扇
foliage,树叶
food,食物
food-themed_clothes,食物衣服
food-themed_hair_ornament,食物主题发饰
food_focus,食物的焦点
food_in_mouth,嘴里的食物
food_on_body,体内食物
food_on_face,脸上的食物
food_on_head,头顶食物
food_print,食物打印
food_stand,食物站
foot_focus,脚焦点
foot_hold,脚举行
foot_out_of_frame,脚出框
foot_up,脚了
footjob,footjob
footprints,的足迹
footwear_bow,鞋弓
footwear_ribbon,鞋子带
forced_orgasm,被迫性高潮
forehead,额头
forehead-to-forehead,射出
forehead_jewel,额头上的珠宝
forehead_kiss,额头上吻
forehead_mark,额头马克
forehead_protector,额头保护器
foreshortening,透视收缩
foreskin,包皮
forest,森林
fork,叉
forked_eyebrows,分叉的眉毛
forked_tongue,分叉的舌头
formal,正式的
fountain,喷泉
four-leaf_clover,四叶苜蓿
fourth_wall,第四堵墙
fox,狐狸
fox_boy,福克斯的男孩
fox_ears,狐狸的耳朵
fox_girl,福克斯的女孩
fox_mask,福克斯面具
fox_shadow_puppet,狐狸皮影
fox_tail,狐狸的尾巴
framed,框架
framed_breasts,框架的乳房
freckles,雀斑
freediving,年成
french_braid,法国编织
french_flag,法国国旗
french_fries,炸薯条
french_kiss,法式热吻
french_text,法国的文本
fried_egg,煎蛋
friends,朋友
frilled_apron,伞裙
frilled_bikini,折边的比基尼
frilled_bow,皱鳃弓
frilled_bra,折边的胸罩
frilled_capelet,折边小披肩
frilled_choker,折边项链
frilled_collar,折边领
frilled_cuffs,折边袖口
frilled_dress,折边裙子
frilled_gloves,折边的手套
frilled_hair_tubes,褶边发管
frilled_hairband,折边丢
frilled_hat,折边的帽子
frilled_kimono,折边和服
frilled_legwear,折边legwear
frilled_leotard,折边紧身连衣裤
frilled_panties,折边的内裤
frilled_pillow,折边的枕头
frilled_ribbon,折边丝带
frilled_shirt,折边的衬衫
frilled_shirt_collar,褶边衬衫领
frilled_shorts,折边短裤
frilled_skirt,伞裙
frilled_sleeves,折边的袖子
frilled_swimsuit,折边的泳装
frills,装饰
fringe_trim,边缘修剪
frog,青蛙
frog_girl,青蛙女孩
frog_hair_ornament,蛙毛饰品
frog_print,青蛙打印
frogtie,frogtie
from_above,从上面
from_behind,从后面
from_below,从下面
from_outside,从外面
from_side,从一边
front-print_panties,front-print内裤
front-tie_bikini,front-tie比基尼
front-tie_top,front-tie最高
front_ponytail,前面马尾辫
front_zipper_swimsuit,前拉链泳衣
frottage,摩擦
frown,皱眉
frozen,冻
fruit,水果
fruit_on_head,头果
frying_pan,煎锅
fucked_silly,受骗的愚蠢的
full-body_tattoo,全身纹身
full-face_blush,正面的脸红
full-length_zipper,全长拉链
full-package_futanari,满管futanari
full_armor,完整的护甲
full_body,全身
full_moon,满月
full_nelson,完整的纳尔逊
fume,烟
fundoshi,fundoshi
fur,皮毛
fur-trimmed_boots,”靴子
fur-trimmed_cape,”角
fur-trimmed_capelet,”小披肩
fur-trimmed_cloak,”斗篷
fur-trimmed_coat,件毛边大衣
fur-trimmed_dress,”服装
fur-trimmed_gloves,”手套
fur-trimmed_headwear,”头饰
fur-trimmed_hood,”罩
fur-trimmed_jacket,”夹克
fur-trimmed_kimono,”和服
fur-trimmed_legwear,”legwear
fur-trimmed_shorts,件毛边短裤
fur-trimmed_skirt,”裙子
fur-trimmed_sleeves,”袖子
fur_boots,毛皮靴子
fur_cape,皮草披肩
fur_coat,毛皮大衣
fur_collar,皮领
fur_hat,裘皮帽
fur_scarf,毛皮围巾
fur_trim,毛皮修剪
furigana,furigana
furisode,furisode
furoshiki,furoshiki
furrowed_brow,眉头紧蹙
furry,毛茸茸的
furry_female,毛茸茸的女性
furry_male,毛茸茸的男性
furry_with_furry,毛茸茸的
furry_with_non-furry,有毛的和没有毛的
fusion,融合
futa_on_male,Futa on男
futa_with_female,Futa with female
futa_with_futa,Futa with Futa
futa_with_male,Futa with male
futanari,futanari
futasub,futasub
futon,蒲团
fuuin_no_tsue,别闹了
g-string,丁字裤
gae_bolg_(fate),命运。
gae_dearg_(fate),亲爱的（命运）
gag,呕吐
gagged,堵住
gaijin_4koma,外国人4黄家驹
gakuran,gakuran
galaxy,星系
game_boy,游戏的男孩
game_console,游戏机
game_controller,游戏控制器
gamepad,手柄
gameplay_mechanics,游戏机制
gangbang,轮奸
ganguro,ganguro
gao,高
gap_(touhou),差距(touhou)
gaping,大
garden,花园
garreg_mach_monastery_uniform,Garreg Mach修道院制服
garrison_cap,帽帽
garter_belt,吊袜腰带
garter_straps,袜带肩带
garters,吊袜带
gas_mask,防毒面具
gate,门
gathers,收集
gatling_gun,加特林机枪
gauntlets,长手套
gears,齿轮
gekkoukan_high_school_uniform,高中校服
gem,宝石
gem_uniform_(houseki_no_kuni),宝石制服（houseki no kuni）
genderswap,genderswap
genderswap_(ftm),genderswap(英尺分)
genderswap_(mtf),genderswap (mtf)
german_clothes,德国的衣服
german_flag,德国国旗
german_flag_bikini,德国国旗比基尼
german_text,德国的文本
germany,德国
gerudo,gerudo
gesture,手势
gesugao,gesugao
geta,木屐
ghost,鬼
ghost_costume,鬼服
ghost_tail,鬼的尾巴
giant,巨大的
giantess,女巨人
gift,礼物
gift_bag,礼品袋
gift_box,礼物盒
gigantic_breasts,巨大的乳房
gills,鳃
ginkgo_leaf,银杏叶
girl_on_top,上面的女孩
girl_sandwich,女孩三明治
giving,给
giving_up_the_ghost,放弃鬼魂
glaive,宽刃刀
glaring,明显的
glass,玻璃
glasses,眼镜
glint,闪闪发光
glitch,故障
globe,全球
glomp,glomp
gloom_(expression),忧郁(表达)
glove_biting,手套咬
gloved_handjob,戴着手套手淫
gloves,手套
gloves_removed,手套删除
glowing,发光的
glowing_butterfly,发光的蝴蝶
glowing_eye,发光的眼睛
glowing_eyes,发光的眼睛
glowing_hair,发光的头发
glowing_horns,发光的角
glowing_sword,发光的剑
glowing_weapon,发光的武器
glowing_wings,发光的翅膀
glowstick,glowstick
goat,山羊
goat_ears,山羊的耳朵
goat_girl,山羊的女孩
goat_horns,山羊的角
goatee,山羊胡子
goblet,杯状
goblin,小妖精
goggles,护目镜
goggles_around_neck,脖子上戴着护目镜
goggles_on_head,头戴护目镜
goggles_on_headwear,头戴护目镜
gohei,gohei
gokkun,gokkun
gold,黄金
gold_armor,黄金铠甲
gold_chain,金链
gold_trim,黄金修剪
golden_arms,金色武器
goldfish,金鱼
golf_club,高尔夫俱乐部
good_end,有好下场
gorget,饰领
gothic,哥特
gothic_lolita,哥特洛丽塔
gourd,葫芦
gown,礼服
grabbing,抓住
grabbing_another's_ass,抓别人的屁股
grabbing_another's_chin,抓别人的下巴
grabbing_another's_hair,抓别人的头发
grabbing_from_behind,从后面抓
grabbing_own_ass,抓自己的屁股
grabbing_own_breast,抓住自己的乳房
gradient,梯度
gradient_background,渐变背景
gradient_clothes,梯度的衣服
gradient_eyes,梯度的眼睛
gradient_hair,梯度的头发
gradient_legwear,梯度legwear
gradient_sky,梯度的天空
graduation,毕业
graffiti,涂鸦
grand_piano,三角钢琴
grapes,葡萄
graphite_(medium),石墨(媒介)
grass,草
grave,坟墓
graveyard,墓地
greatsword,巨剑
greaves,格里夫斯
green-framed_eyewear,green-framed眼镜
green_apron,绿色的围裙
green_background,绿色背景
green_bag,绿色的包
green_bikini,绿色比基尼
green_bodysuit,绿色紧身衣裤
green_bow,绿色的弓
green_bowtie,绿色的领结
green_bra,绿色的胸罩
green_cape,绿色斗篷
green_choker,绿色的项链
green_coat,绿色的外套
green_dress,绿色的裙子
green_eyes,绿色的眼睛
green_eyeshadow,绿色眼影
green_flower,绿色的花
green_footwear,绿色的鞋子
green_gloves,绿色的手套
green_hair,绿色的头发
green_hairband,绿色的头上
green_hakama,绿色袴
green_headwear,绿色的头饰
green_hoodie,绿色的连帽衫
green_jacket,绿色的夹克
green_kimono,绿色和服
green_legwear,绿色legwear
green_leotard,绿色紧身连衣裤
green_lips,绿色的嘴唇
green_nails,绿色的指甲
green_neckerchief,绿色的围巾
green_necktie,绿色的领带
green_neckwear,绿色的领带
green_panties,绿色的内裤
green_pants,绿色的裤子
green_ribbon,绿丝带
green_sailor_collar,绿水手领
green_scarf,绿色的围巾
green_scrunchie,绿色的发束
green_shirt,绿色的衬衫
green_shorts,绿色的短裤
green_skin,绿色的皮肤
green_skirt,绿色的裙子
green_sleeves,绿袖子
green_sweater,绿色的毛衣
green_swimsuit,绿色泳衣
green_tail,绿色的尾巴
green_tea,绿茶
green_theme,绿色主题
green_vest,绿色的背心
green_wings,绿色的翅膀
grenade,手榴弹
grenade_launcher,榴弹发射器
grey-framed_eyewear,grey-framed眼镜
grey_background,灰色背景
grey_belt,灰色地带
grey_bikini,灰色的比基尼
grey_border,灰色的边界
grey_bow,灰色的弓
grey_bra,灰色的内衣
grey_cape,灰色的斗篷
grey_cardigan,灰色毛衣
grey_coat,灰色的外套
grey_dress,灰色的衣服
grey_eyes,灰色的眼睛
grey_footwear,灰色的鞋
grey_fur,灰色的皮毛
grey_gloves,灰色手套
grey_hair,灰色的头发
grey_headwear,灰色的头饰
grey_hoodie,灰色连帽衫
grey_jacket,灰色夹克
grey_kimono,灰色的和服
grey_legwear,灰色legwear
grey_nails,灰色的指甲
grey_neckerchief,灰色的围巾
grey_necktie,灰色的领带
grey_neckwear,灰色的领带
grey_panties,灰色内裤
grey_pants,灰色的裤子
grey_ribbon,灰色丝带
grey_sailor_collar,灰水手领
grey_scarf,灰色的围巾
grey_shirt,灰色衬衫
grey_shorts,灰色短裤
grey_skin,灰色的皮肤
grey_skirt,灰色的裙子
grey_sky,灰色的天空
grey_sleeves,灰色的袖子
grey_sweater,灰色的毛衣
grey_theme,灰色的主题
grey_vest,灰色背心
greyscale,灰度
grill,烧烤
grimace,鬼脸
grimoire,grimoire
grimoire_of_alice,爱丽丝的魔法书
grin,咧着嘴笑
grinding,磨
groceries,食品杂货
grocery_bag,购物袋
groin,腹股沟
groin_tendon,腹股沟肌腱
groom,新郎
groping,摸索
ground_vehicle,地面车辆
group_hug,集团的拥抱
group_name,组名称
group_picture,组照片
group_sex,群交
guided_breast_grab,引导抓胸
guided_penetration,指导渗透
guitar,吉他
guitar_case,吉他案件
gun,枪
gun_to_head,枪对着头
gunblade,gunblade
guro,古鲁
gusset,衣袖
gyaru,gyaru
gym,健身房
gym_shirt,健身房的衬衫
gym_shorts,运动短裤
gym_storeroom,健身房储藏室
gym_uniform,健身房制服
gymnastics,体操
h&k_hk416,h&k hk416
h&k_ump,h&k人民运动联盟
habit,习惯
hachimaki,hachimaki
hadanugi_dousa,hadanugi dousa
hagoita,hagoita
hagoromo,hagoromo
hair_beads,头发珠子
hair_behind_ear,耳后毛发
hair_bell,头发贝尔
hair_between_breasts,胸间毛
hair_between_eyes,两眼间的头发
hair_blowing,头发吹
hair_bobbles,头发弄坏
hair_bow,头发弓
hair_brush,毛刷
hair_brushing,头发刷牙
hair_bun,头发包
hair_censor,头发审查
hair_color_connection,发色连接
hair_cones,头发锥
hair_cubes,头发立方体
hair_down,头发了
hair_dryer,吹风机
hair_ears,头发的耳朵
hair_flaps,头发皮瓣
hair_flip,头发抛
hair_flower,头发花
hair_flowing_over,头发飘过
hair_horns,头发的角
hair_in_mouth,嘴里有毛
hair_intakes,头发的摄入量
hair_ornament,发饰品
hair_over_breasts,乳房上的头发
hair_over_eyes,头发遮住眼睛
hair_over_one_breast,头发长在一侧乳房上
hair_over_one_eye,头发遮住一只眼睛
hair_over_shoulder,头发披在肩上
hair_pulled_back,头发往后梳
hair_ribbon,发带
hair_rings,头发的戒指
hair_scrunchie,头发发束
hair_slicked_back,头发向后梳
hair_spread_out,头发散开
hair_stick,头发贴
hair_strand,头发链
hair_through_headwear,头发穿过头饰
hair_tie,头发绑
hair_tie_in_mouth,口含发带
hair_tubes,头发管
hair_tucking,头发吃
hair_twirling,头发旋转
hair_up,头发了
hairband,丢
hairclip,发夹
hairdressing,美容
hairjob,hairjob
hairlocs,hairlocs
hairpin,发夹
hairpods,hairpods
hairy,多毛的
hakama,袴
hakama_pants,袴的裤子
hakama_short_skirt,袴短裙
hakama_skirt,袴的裙子
hakuo_school_uniform,Hakuo校服
hakurei_reimu_(cosplay),Hakurei reimu（角色扮演）
hakurei_shrine,hakurei神社
halberd,戟
half-closed_eye,半睁眼睛
half-closed_eyes,半睁眼睛
half-skirt,half-skirt
half_gloves,一半的手套
half_updo,半高髻
halftone,半色调
halftone_background,半色调的背景
halloween,万圣节
halloween_bucket,万圣节桶
halloween_costume,万圣节服装
hallway,走廊
halo,光环
halter_dress,裙
halter_top,露背装
halterneck,露背的
hamaya,hamaya
hammer,锤
hammer_and_sickle,锤子和镰刀
hammock,吊床
hamster,仓鼠
hanami,赏花
hanasakigawa_school_uniform,花崎川校服
hanbok,韩服
hand_between_legs,手放在两腿之间
hand_fan,手扇
hand_gesture,手势
hand_grab,手抓
hand_in_another's_hair,把手伸进别人的头发里
hand_in_hair,递上头发
hand_in_panties,交内裤
hand_in_pocket,手放在口袋里
hand_mirror,手镜
hand_net,手网
hand_on_another's_arm,手放在别人的胳膊上
hand_on_another's_ass,手放在别人屁股上
hand_on_another's_back,手放在别人背上
hand_on_another's_cheek,手放在别人的脸颊上
hand_on_another's_chest,手放在别人的胸前
hand_on_another's_chin,手放在别人的下巴上
hand_on_another's_face,手放在别人脸上
hand_on_another's_head,手放在别人头上
hand_on_another's_hip,手放在别人的屁股上
hand_on_another's_leg,手放在别人的腿上
hand_on_another's_neck,手放在别人的脖子上
hand_on_another's_shoulder,手放在别人的肩膀上
hand_on_another's_stomach,手放在别人的肚子上
hand_on_another's_thigh,手放在别人的大腿上
hand_on_another's_waist,手放在别人的腰上
hand_on_ass,手放在屁股上
hand_on_breast,手放在胸前
hand_on_eyewear,手戴式眼镜
hand_on_forehead,手放在额头上
hand_on_head,手放在头上
hand_on_headphones,戴上耳机
hand_on_headwear,手戴式头饰
hand_on_hilt,手放在刀柄上
hand_on_hip,手放在臀部
hand_on_lap,手放在膝盖上
hand_on_leg,手放在腿上
hand_on_own_arm,手放在自己的手臂上
hand_on_own_ass,把手放在自己屁股上
hand_on_own_cheek,手放在自己脸颊上
hand_on_own_chest,手放在自己胸前
hand_on_own_chin,手放在自己的下巴上
hand_on_own_face,用手捂脸
hand_on_own_head,手放在自己头上
hand_on_own_knee,手放在自己的膝盖上
hand_on_own_leg,手放在自己腿上
hand_on_own_neck,手放在自己的脖子上
hand_on_own_shoulder,手放在自己肩上
hand_on_own_stomach,手放在自己肚子上
hand_on_own_thigh,手放在自己大腿上
hand_on_shoulder,手搭在肩上
hand_on_thigh,手放在大腿上
hand_over_eye,交手
hand_over_own_mouth,交出自己的嘴
hand_puppet,布袋木偶
hand_to_head,手挨着头
hand_to_own_mouth,用手捂着嘴
hand_under_clothes,衣服下的手
hand_under_shirt,衬衫下的手
hand_up,举手
handbag,手提包
handcuffs,手铐
handgun,手枪
handheld_game_console,手持游戏机
handjob,手淫
handkerchief,手帕
hands,手
hands_in_hair,双手插在头发里
hands_in_opposite_sleeves,双手相对袖
hands_in_pockets,双手插在口袋里
hands_on_another's_cheeks,手放在别人的脸颊上
hands_on_another's_face,手放在别人脸上
hands_on_another's_head,手放在别人头上
hands_on_another's_hips,手放在别人的屁股上
hands_on_another's_shoulders,把手放在别人的肩膀上
hands_on_ass,手放在屁股上
hands_on_feet,双手放在脚上
hands_on_ground,双手放在地上
hands_on_headwear,双手放在头饰上
hands_on_hilt,双手放在刀柄上
hands_on_hips,双手放在臀部
hands_on_lap,双手放在膝盖上
hands_on_own_ass,把手放在自己屁股上
hands_on_own_cheeks,双手放在自己的脸颊上
hands_on_own_chest,双手放在自己胸前
hands_on_own_face,双手捂脸
hands_on_own_head,双手抱头
hands_on_own_knees,双手放在膝盖上
hands_on_own_stomach,双手放在自己肚子上
hands_on_own_thighs,双手放在大腿上
hands_on_shoulders,双手搭在肩上
hands_up,举起手来
handsfree_ejaculation,免提的射精
handstand,倒立
haneoka_school_uniform,花冈校服
hanetsuki,hanetsuki
hanfu,汉服
hanging,挂
hanging_breasts,挂着的乳房
haniwa_(statue),埴轮(雕像)
hanten_(clothes),hanten(衣服)
haori,haori
happi,宽松外衣
happy,快乐
happy_birthday,生日快乐
happy_halloween,万圣节快乐
happy_new_year,新年快乐
happy_sex,快乐的性
happy_tears,快乐的眼泪
happy_valentine,快乐情人节
hardhat,需要戴安全帽的
harem,后宫
harem_outfit,闺房里的衣服
harem_pants,休闲裤
harness,利用
harp,竖琴
harpy,鸟身女妖
harvin,harvin
hashitsuki_nata,hashitsuki nata
hat,帽子
hat_bow,帽子鞠躬
hat_feather,羽毛的帽子
hat_flower,帽子花
hat_ornament,帽子的点缀
hat_over_one_eye,帽子遮住一只眼睛
hat_removed,帽子删除
hat_ribbon,帽子带
hat_tip,帽子提示
hat_with_ears,有耳朵的帽子
hatching_(texture),孵化(纹理)
hatsune_miku_(cosplay),初音未来（cosplay）
hatted_pokemon,戴着帽子的口袋妖怪
hauchiwa,hauchiwa
have_to_pee,我要尿尿
hawaiian_shirt,夏威夷衬衫
head,头
head-mounted_display,头戴显示设备
head_back,回去
head_between_breasts,胸间头
head_bump,头撞
head_chain,头链
head_down,低着头
head_fins,头鳍
head_grab,头抓起
head_on_another's_shoulder,把头靠在别人的肩膀上
head_on_chest,头朝胸前
head_on_hand,头朝上
head_on_pillow,头枕枕头
head_out_of_frame,头出框
head_rest,头休息
head_scarf,头巾
head_tilt,头倾斜
head_wings,头的翅膀
head_wreath,头花环
headband,头巾
headdress,头饰
headgear,首饰
headless,无头
headpat,headpat
headphones,耳机
headphones_around_neck,脖子上戴耳机
headpiece,帽子
heads-up_display,抬头显示器
heads_together,头在一起
headset,耳机
headwear_removed,头饰删除
health_bar,健康酒吧
heart,心
heart-shaped_box,心形的盒子
heart-shaped_chocolate,心形的巧克力
heart-shaped_eyewear,心形的眼镜
heart-shaped_lock,心形的锁
heart-shaped_pupils,心形的学生
heart_ahoge,心ahoge
heart_background,心的背景
heart_balloon,心的气球
heart_censor,心审查
heart_choker,心项链
heart_cutout,心断路
heart_earrings,心耳环
heart_eyes,心的眼睛
heart_hair_ornament,心形发饰
heart_hands,心的手
heart_hands_duo,心手二人组
heart_in_eye,心在眼里
heart_in_mouth,心都提到嘴里了
heart_lock_(kantai_collection),心锁（kantai collection）
heart_necklace,心项链
heart_of_string,弦之心
heart_pasties,心馅饼
heart_pillow,心的枕头
heart_print,心印
heart_tail,心的尾巴
heart_tattoo,心纹身
heartbeat,心跳
heavy_breathing,沉重的呼吸
heckler_&_koch,Heckler & Koch
height_chart,高度图
height_difference,高度差
helicopter,直升机
helm,舵
helmet,头盔
helmet_removed,头盔删除
henshin,henshin
heroic_spirit_festival_outfit,英雄节服饰
heroic_spirit_formal_dress,英雄式正装
heroic_spirit_traveling_outfit,英雄精神行装
hetero,异性恋的
heterochromia,色彩差异
hexagon,六角
hexagram,六角星形
hibiscus,芙蓉
hickey,希基
hidden_eyes,隐藏的眼睛
hidden_face,隐藏的脸
hiding,隐藏
high-waist_pants,高腰的裤子
high-waist_shorts,高腰短裤
high-waist_skirt,高腰的裙子
high_collar,高领
high_contrast,高对比度
high_heel_boots,高跟靴
high_heels,高跟鞋
high_kick,高踢腿
high_ponytail,高马尾辫
highleg,highleg
highleg_bikini,highleg比基尼
highleg_leotard,highleg紧身连衣裤
highleg_panties,highleg内裤
highleg_swimsuit,highleg泳衣
hikarizaka_private_high_school_uniform,光阪私立高中校服
hikimayu,hikimayu
hill,山
hime_cut,他切
hip_bones,髋关节骨
hip_focus,臀部焦点
hip_vent,臀部发泄
hirschgeweih_antennas,hirschgeweih天线
hishaku,hishaku
hitachi_magic_wand,日立魔棒
hitodama,hitodama
hitting,打
hogwarts_school_uniform,霍格沃茨校服
holding,持有
holding_animal,拿着动物
holding_another's_arm,挽着别人的胳膊
holding_another's_wrist,握着别人的手腕
holding_arrow,拿着箭
holding_axe,拿着斧头
holding_bag,拿着袋子
holding_ball,拿着球
holding_balloon,拿着气球
holding_baseball_bat,拿着棒球棒
holding_basket,拿着篮子
holding_book,拿着书
holding_bottle,拿着瓶子
holding_bouquet,拿着花束
holding_bow_(weapon),握弓（武器）
holding_bowl,拿着碗
holding_box,拿着箱子
holding_breath,拿着呼吸
holding_broom,拿着扫帚
holding_brush,拿着画笔
holding_camera,拿着相机
holding_can,持有可以
holding_candy,拿着糖果
holding_card,拿着卡片
holding_cat,拿着猫
holding_chopsticks,拿着筷子
holding_cigarette,拿着香烟
holding_clipboard,持有剪贴板
holding_clothes,拿着衣服
holding_condom,拿着避孕套
holding_controller,持有控制器
holding_cup,拿着杯子
holding_dagger,拿着匕首
holding_doll,拿着娃娃
holding_drink,拿着饮料
holding_eyewear,拿着眼镜
holding_fan,拿着风扇
holding_fishing_rod,固定式鱼竿
holding_flag,拿着国旗
holding_flower,拿着花
holding_food,拿着食物
holding_fork,拿着叉子
holding_fruit,拿着水果
holding_game_controller,手持游戏控制器
holding_gift,拿着礼物
holding_gun,拿着枪
holding_hair,拿着头发
holding_hammer,拿着锤子
holding_handheld_game_console,手持游戏机
holding_hands,手牵着手
holding_hat,拿着帽子
holding_head,持有的头
holding_helmet,拿着头盔
holding_innertube,持有innertube
holding_instrument,拿着工具
holding_jacket,拿着外套
holding_knife,拿着刀
holding_lantern,拿着灯笼
holding_leaf,拿着叶
holding_leash,拿着皮带
holding_legs,拿着腿
holding_letter,拿着信
holding_lollipop,拿着棒棒糖
holding_mask,拿着面具
holding_microphone,拿着麦克风
holding_needle,拿着针
holding_own_arm,抱着自己的手臂
holding_own_foot,抱着自己的脚
holding_paintbrush,拿着画笔
holding_panties,拿着内裤
holding_paper,拿着纸
holding_pen,拿着钢笔
holding_pencil,拿着铅笔
holding_person,控股人
holding_phone,拿着电话
holding_pillow,拿着枕头
holding_pipe,拿着烟斗
holding_pizza,拿披萨
holding_plate,固定板
holding_poke_ball,拿着球
holding_pokemon,拿着口袋妖怪
holding_polearm,拿着武器
holding_pom_poms,拿着彩球
holding_ribbon,拿着丝带
holding_sack,拿着袋子
holding_saucer,拿着碟子
holding_scissors,拿着剪刀
holding_scythe,拿着镰刀
holding_sheath,持有鞘
holding_shield,拿着盾牌
holding_shoes,拿着鞋
holding_sign,控股签署
holding_spoon,拿着勺子
holding_staff,持有的员工
holding_stick,拿着棍子
holding_strap,拿着皮带
holding_stuffed_toy,拿着毛绒玩具
holding_stylus,拿笔
holding_sword,拿着剑
holding_syringe,拿着注射器
holding_tail,持有的尾巴
holding_towel,拿着毛巾
holding_tray,拿着托盘
holding_umbrella,拿着伞
holding_underwear,拿内衣
holding_vegetable,拿着蔬菜
holding_wand,拿着魔杖
holding_water_gun,持水枪
holding_weapon,拿着武器
holding_whip,拿着鞭子
hole,洞
holly,冬青
hologram,全息图
holographic_interface,全息接口
hololive_idol_uniform,Hololive神像制服
holster,皮套
holstered_weapon,枪武器
homu,homu
homurahara_academy_uniform,本原学院制服
honey,蜂蜜
honeycomb_(pattern),蜂窝(模式)
honeycomb_background,蜂窝背景
hood,罩
hood_down,罩下
hood_up,罩了
hooded_cape,连帽斗篷
hooded_capelet,连帽小披肩
hooded_cardigan,连帽开衫
hooded_cloak,连帽斗篷
hooded_coat,连帽上衣
hooded_jacket,连帽上衣
hooded_robe,连帽长袍
hooded_sweater,连帽毛衣
hooded_track_jacket,连帽田径夹克
hoodie,连帽衫
hook,钩
hoop,呼啦圈
hoop_earrings,箍耳环
hooves,蹄
horizon,地平线
horizontal_pupils,水平的学生
horizontal_stripes,横条纹
horn_bow,角弓
horn_ornament,角装饰
horn_ribbon,角带
horned_headwear,角头饰
horned_helmet,牛角头盔
horns,角
horns_through_headwear,头饰上的角
horror_(theme),恐怖(主题)
horse,马
horse_ears,马的耳朵
horse_girl,马的女孩
horse_penis,马的阴茎
horse_tail,马的尾巴
horseback_riding,骑马
horseshoe_ornament,马蹄点缀
hose,软管
hospital,医院
hospital_bed,医院的病床上
hospital_gown,医院的礼服
hot,热
hot_dog,热狗
houndstooth,犬牙花纹
hourglass,沙漏
house,房子
how_to,如何
hug,拥抱
hug_from_behind,从后面拥抱
huge_ahoge,巨大的ahoge
huge_ass,巨大的屁股
huge_bow,巨大的弓
huge_breasts,巨大的乳房
huge_nipples,巨大的乳头
huge_penis,巨大的阴茎
huge_weapon,巨大的武器
hugging_own_legs,抱着自己的腿
humanization,人性化
humanoid_robot,仿人机器人
humiliation,羞辱
hungry,饿了
husband_and_wife,丈夫和妻子
hydrangea,绣球花
hypnosis,催眠
ice,冰
ice_cream,冰淇淋
ice_cream_cone,蛋卷冰淇淋
ice_cube,冰块
ice_skates,溜冰鞋
ice_wings,冰的翅膀
icho_private_high_school_uniform,Icho私立高中校服
icing,糖衣
id_card,身份证
identity_censor,身份审查
idol,偶像
idol_clothes,偶像的衣服
if_they_mated,如果它们交配
igote,igote
imagining,想象
imminent_anal,迫在眉睫的肛门
imminent_fellatio,迫在眉睫的口交
imminent_kiss,迫在眉睫的吻
imminent_penetration,迫在眉睫的渗透
imminent_rape,迫在眉睫的强奸
imminent_vaginal,迫在眉睫的阴道
impaled,刺
imperial_japanese_army,日本皇军
implied_fellatio,隐含口交
implied_fingering,隐含的指法
implied_futanari,隐含futanari
implied_masturbation,隐含自慰
implied_sex,隐含性
implied_yuri,隐含尤里
impossible_bodysuit,不可能的紧身衣裤
impossible_clothes,不可能的衣服
impossible_dress,不可能的衣服
impossible_leotard,不可能的紧身连衣裤
impossible_shirt,不可能的衬衫
impossible_swimsuit,不可能的泳衣
impregnation,浸渍
improvised_gag,简易的呕吐
in_box,在盒子
in_bucket,在斗
in_container,在集装箱
in_cup,在杯
in_food,在食品
in_palm,在棕榈
in_the_face,打在脸上
in_tree,在树
in_water,在水里
incest,乱伦
incoming_attack,传入的攻击
incoming_food,传入的食物
incoming_gift,传入的礼物
incoming_kiss,传入的吻
index_finger_raised,举起食指
index_fingers_together,食指并拢
indian_style,印度风格的
indoors,在室内
infection_monitor_(arknights),感染监测仪（arknights）
infinity,∞
inflatable_raft,充气筏
inflatable_toy,充气玩具
inflation,通货膨胀
injury,受伤
ink,墨水
ink_(medium),墨水(媒介)
ink_tank_(splatoon),墨槽（单排）
inkwell,墨水池
inline_skates,滑轮滑
innertube,innertube
insect_wings,昆虫的翅膀
inset,插图
insignia,徽章
instant_loss,即时损失
instrument,仪器
instrument_case,仪器情况
interface_headset,耳机接口
